parallel_id,yue_sent_id,zh_sent_id,yue_text,zh_text,yue_tokens,zh_tokens,absolute_token_difference,yue_mean_arc_distance,zh_mean_arc_distance,yue_long_arc_percent,zh_long_arc_percent,base_relation_JS_bits
hk/52,52,52,爺爺呀，呢啲畀你嘅！,這些是爺爺的！,8,5,3,2.0,1.5,0.0,0.0,0.6208069382689329
hk/343,343,343,你過去收吖。,到那邊試試。,5,5,0,1.75,1.25,0.0,0.0,0.6
hk/236,236,236,快啲畀返啲錢我呀！,快把錢還給我！,9,7,2,2.875,1.8333333333333333,12.5,0.0,0.5726348243432069
hk/99,99,99,欸，影張相畀阿哥睇先！,給哥哥看看才行。,10,6,4,2.888888888888889,1.8,22.22222222222222,0.0,0.5632453937825672
hk/203,203,203,米阻住晒啦！,別阻礙我！,5,4,1,1.75,1.3333333333333333,0.0,0.0,0.5540157730728001
hk/23,23,23,成日都講埋啲咩龜波氣功吖，打交啦。,常把龜波氣功掛在口邊。,12,7,5,3.090909090909091,1.8333333333333333,18.181818181818183,0.0,0.5527661184619035
hk/691,691,691,我想秘書同我幫幫-俾個名單我，得唔得呀？,請秘書幫忙把曾舉手表示想提出規程問題的議員名單交給我。,17,18,1,2.875,4.0,12.5,29.41176470588235,0.5430250537403675
hk/295,295,295,點解呀？,為什麼要借給你？,3,6,3,1.5,1.8,0.0,0.0,0.5408520829727551
hk/278,278,278,得你要做呀？,不是只有你有功課做！,6,9,3,1.8,2.25,0.0,12.5,0.5387193639781542
hk/356,356,356,你而家last-touch喎。,你最後一個踫它。,5,8,3,1.5,2.2857142857142856,0.0,0.0,0.5313971551975981
hk/210,210,210,一路做功課就一路聽！,去做功課，別吵著我！,7,9,2,1.6666666666666667,2.625,0.0,12.5,0.5219170423201268
hk/90,90,90,快啲交換啦，交換啦！,交換看！,8,3,5,2.0,1.5,0.0,0.0,0.5189155373473684
hk/501,501,501,噉根本就唔識廟街個啲……又同客傾偈啦，飲酒啦，嗰啲啦。,根本不懂得跟客人相處。,20,7,13,3.1578947368421053,2.0,15.789473684210526,0.0,0.5150356138663066
hk/467,467,467,由細到大都中意唱歌嘅？,從小就喜歡唱歌？,9,5,4,1.875,1.5,0.0,0.0,0.5144262074256609
hk/160,160,160,唏！唔記得囉喎！,我忘了！,6,4,2,1.8,1.3333333333333333,0.0,0.0,0.5103604198119541
hk/69,69,69,算你啦！,算你乖！,4,4,0,2.0,2.0,0.0,0.0,0.5
hk/251,251,251,我話畀媽咪知！,我要跟媽媽說！,6,6,0,2.2,2.0,0.0,0.0,0.49999999999999994
hk/534,534,534,係呀，冇而家噉樣㗎，二十、二十㗎，冇㗎，呀，嗰陣時真係好闊佬㗎。,不像現在二十塊、二十塊這樣，真的很闊綽。,25,14,11,4.625,3.6153846153846154,16.666666666666668,23.076923076923077,0.49951835841685077
hk/384,384,384,真係要我教訓，係咪呀？,真的要我出手才行？,8,7,1,1.7142857142857142,2.3333333333333335,0.0,0.0,0.49868891325136866
hk/905,905,905,我哋又點去到第二點，去選立法會嘅主席呢？,試問怎能進入第二款選舉立法會主席的程序？,15,12,3,3.0714285714285716,2.727272727272727,14.285714285714286,9.090909090909092,0.4978458168707814
hk/482,482,482,我個-我藝名叫做金燕子，係呀，金燕子，係呀，係我喺廟街，呢個廟街嘅藝名-藝名嚟㗎。,我藝名叫金燕子，是我在廟街的藝名。,31,12,19,4.1,3.5454545454545454,20.0,27.272727272727273,0.4863288850069029
hk/189,189,189,黐埋一齊嗰個叫histogram吖嘛。,那是直方圖。,8,4,4,1.7142857142857142,1.3333333333333333,0.0,0.0,0.4834585933443497
hk/721,721,721,噉，我就，呀，規程問題啦。,我想就此提出規程問題。,11,8,3,3.9,2.142857142857143,30.0,0.0,0.4815553323952642
hk/670,670,670,噉呢，然後讓我哋可以喺一個嘅有秩序底下裏便呢，進行我哋今日嘅主席嗰個嘅投票嘅過程㗎。,讓我們今天可以有秩序地進行選舉主席的程式。,29,13,16,5.0,3.75,28.571428571428573,16.666666666666668,0.48036838681953287
hk/420,420,420,去咗邊度呀，佢？,弄到哪裏去了？,7,6,1,3.0,2.8,16.666666666666668,0.0,0.47704164230262996
hk/988,988,988,繼續啦，你！,請你繼續。,5,4,1,2.5,2.0,0.0,0.0,0.46460599000146535
hk/372,372,372,你啲拖鞋達達聲嘈醒阿爺呀！,你的拖鞋聲很吵！,9,6,3,2.25,1.4,0.0,0.0,0.46058300308073974
hk/744,744,744,最好畀原裝我哋添啦。,而最好當然是正本。,7,7,0,2.6666666666666665,2.1666666666666665,0.0,0.0,0.456454251825942
hk/303,303,303,刷你嘅牙啦！,你專心刷牙啦！,6,5,1,3.0,1.5,0.0,0.0,0.45328338368767385
hk/60,60,60,我默書一百分呀。,我默書一百分。,6,5,1,1.8,1.75,0.0,0.0,0.45328338368767385
hk/315,315,315,有冇着數先？,對我有什麼好處？,5,6,1,2.5,1.6,0.0,0.0,0.4532833836876738
hk/28,28,28,吖，掰掰啦，同小朋友掰掰。,跟小朋友說再見。,9,5,4,2.625,1.25,12.5,0.0,0.4529508565224797
hk/334,334,334,九零三，九零三吖！快啲啦！,快轉到九零三！,9,5,4,2.375,1.75,0.0,0.0,0.4529508565224797
hk/657,657,657,或者有啲嘅地方需要澄清。,要求候選人就某些方面作出澄清。,8,8,0,2.2857142857142856,2.5714285714285716,14.285714285714286,14.285714285714286,0.45281953111478324
hk/703,703,703,噉，我就會係，欸……邀請大家提出你個議程規程嘅內容出唻嘅。,我會邀請大家發言。,21,6,15,3.7,1.8,20.0,0.0,0.4525278630230437
hk/978,978,978,嗱，剛才呢，個個會議進程呢，係非常之好嘅……,剛才的會議本來進行得很好……,17,9,8,3.3125,1.875,18.75,0.0,0.44786989370643915
hk/435,435,435,即係點樣呀？係動聽。,不用唱得很好聽、很動聽。,7,9,2,2.3333333333333335,2.375,0.0,12.5,0.447085693131969
hk/714,714,714,而解釋呢，都聽咗嘞。,我們已聽罷他的解釋。,9,8,1,2.375,2.142857142857143,0.0,0.0,0.4371580136158019
hk/139,139,139,呀，仲走喎！,別跑！,6,3,3,1.6,1.0,0.0,0.0,0.43709270815304424
hk/953,953,953,噉，點解你唔同佢哋講呀？,為何你這些話不跟他們說？,10,9,1,2.888888888888889,2.5,11.11111111111111,12.5,0.4323551443495976
hk/969,969,969,冇錯，點解你而家可以講嘢，我而家唔係-我而家唔係霸尖。,我不是插隊發言，主席。,20,8,12,4.0,2.142857142857143,15.789473684210526,0.0,0.4281265286306568
hk/349,349,349,轉個圈啦，不如。,轉個圈看看。,7,5,2,3.0,2.5,16.666666666666668,0.0,0.42667209917704874
hk/265,265,265,有咩好聽唧？,都不知有什麼好聽。,6,8,2,2.8,1.7142857142857142,0.0,0.0,0.4252835873133535
hk/607,607,607,做咩呀？,有甚麼事？,3,4,1,1.5,2.0,0.0,0.0,0.4252835873133535
